configuration,source_id,chunk_id,speech_ratio,vad_confidence,wer,cer,content_privacy,speaker_privacy,privacy_score,tc3,ta1,preserve_new,trials_used,used_ss,recipe
LLM-NoMem-SS,,6d279066-ba0e-5d83-96f6-637f7254e2cf_2,0.622,0.88415,1.0,1.0,1.0,0.1873854225255155,0.7562156267576546,1.0,1.0,1.0,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,f99e7c5e-176e-5332-9316-36c4ef1f3676_0,0.9515,0.9732,0.3888888888888889,0.23076923076923078,0.32564102564102565,0.23830645301043962,0.2994406538518498,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,f99e7c5e-176e-5332-9316-36c4ef1f3676_1,0.9025,0.8704000000000001,0.3333333333333333,0.2833333333333333,0.31333333333333335,0.13475147309719104,0.25975877526249064,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,f99e7c5e-176e-5332-9316-36c4ef1f3676_2,0.423,0.8696,0.75,0.36,0.594,0.2444460671171026,0.48913382013513074,1.0,1.0,1.0,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,3b10c7ff-aa36-5b22-9c38-0f15eff04a8a_0,0.8865,0.94215,0.4166666666666667,0.35294117647058826,0.39117647058823535,0.33225810476736395,0.37350096084197393,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,3b10c7ff-aa36-5b22-9c38-0f15eff04a8a_1,1.0,0.9332,0.8181818181818182,0.5625,0.7159090909090909,0.5909575754104501,0.6784236362594986,0.0,0.0,0.0,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,3b10c7ff-aa36-5b22-9c38-0f15eff04a8a_2,0.839,0.9507,0.1111111111111111,0.1509433962264151,0.1270440251572327,0.17437986857883014,0.14124477818371192,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,4bdef137-0ed2-5cff-8216-537c6c902be0_0,0.863,0.9718,0.7142857142857143,0.35802469135802467,0.5717813051146384,0.32627418078251225,0.49812916781500055,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,4bdef137-0ed2-5cff-8216-537c6c902be0_1,0.9665,0.9210499999999999,1.0,0.7333333333333333,0.8933333333333333,0.38255464553630825,0.7400997269942258,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,4bdef137-0ed2-5cff-8216-537c6c902be0_2,0.718,0.90845,0.18181818181818182,0.07407407407407407,0.13872053872053872,0.027838426817258566,0.10545590514955466,1.0,1.0,1.0,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,b315da1c-01be-534d-970e-0e1a6edfdd32_0,0.8625,0.96895,1.0,0.703125,0.88125,0.2978936266653158,0.7062430879995947,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,b315da1c-01be-534d-970e-0e1a6edfdd32_1,0.9105,0.92685,0.5833333333333334,0.273972602739726,0.45958904109589044,0.07109158439268892,0.34303980408492996,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,b315da1c-01be-534d-970e-0e1a6edfdd32_2,0.487,0.9593,0.0,0.0,0.0,0.09112116173174567,0.0273363485195237,1.0,1.0,1.0,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,8d11cb18-092f-5a11-b78b-003b0a0c8430_0,0.9595,0.9639,0.4166666666666667,0.14925373134328357,0.30970149253731344,0.36604538538242526,0.326604660390847,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,8d11cb18-092f-5a11-b78b-003b0a0c8430_1,0.9745,0.9352,0.36363636363636365,0.27419354838709675,0.3278592375366569,0.14216608890469107,0.27215129294706714,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,8d11cb18-092f-5a11-b78b-003b0a0c8430_2,0.639,0.9351,0.2857142857142857,0.13953488372093023,0.2272425249169435,0.06588592692307849,0.17883554551878397,1.0,1.0,1.0,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,967acd80-c1c8-5183-9cf7-e134a3d14c24_0,0.9105,0.94365,1.0,0.86,0.944,0.17542179468204022,0.713426538404612,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,967acd80-c1c8-5183-9cf7-e134a3d14c24_1,0.9665,0.94655,0.5,0.2857142857142857,0.41428571428571426,0.18252768002493736,0.3447583040074812,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,967acd80-c1c8-5183-9cf7-e134a3d14c24_2,0.67,0.86065,1.0,0.8235294117647058,0.9294117647058824,0.3489859027718646,0.7552840061256769,0.6666666666666666,0.0,0.3333333333333333,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,736c88e8-2da3-5cbe-bd86-0c073e18ab04_0,0.9025,0.9384,0.5555555555555556,0.3469387755102041,0.47210884353741495,0.17922949674795696,0.38424503950057753,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,736c88e8-2da3-5cbe-bd86-0c073e18ab04_1,0.9665,0.9363,0.4444444444444444,0.3157894736842105,0.3929824561403509,0.08630185091701381,0.30097827457334975,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,736c88e8-2da3-5cbe-bd86-0c073e18ab04_2,0.4315,0.9539,0.3333333333333333,0.15384615384615385,0.2615384615384615,0.09837744591357322,0.212590156850995,1.0,1.0,1.0,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,fc445445-1f41-5213-b245-a4475eb6f675_0,0.775,0.9629,0.4444444444444444,0.3103448275862069,0.39080459770114945,0.15463862722302413,0.31995480655771186,1.0,1.0,1.0,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,fc445445-1f41-5213-b245-a4475eb6f675_1,0.9505,0.8705,1.0,0.9344262295081968,0.9737704918032787,0.08310027570518141,0.7065694269738494,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,fc445445-1f41-5213-b245-a4475eb6f675_2,0.75,0.95055,0.0,0.0,0.0,0.259096361456022,0.07772890843680659,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,88774651-665b-53c5-ba3e-2d1f65df6ddf_0,0.9355,0.991,0.5454545454545454,0.30158730158730157,0.44790764790764787,0.0761556722323743,0.3363820552050658,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,88774651-665b-53c5-ba3e-2d1f65df6ddf_1,0.9995,0.9709,0.2727272727272727,0.18032786885245902,0.23576751117734723,0.14371936515174744,0.20815306736966727,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
